"","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A","Nasal_1.1.IgM.","Nasal_1.1.IgM.","Nasal_2.1.IgM.","Nasal_2.1.IgM.","Nasal_3.1.IgM.","Nasal_3.1.IgM.","Nasal_4.1.IgM.","Nasal_4.1.IgM.","Nasal_5.1.IgM.","Nasal_5.1.IgM.","Nasal_6.1.IgM.","Nasal_6.1.IgM.","Nasal_7.1.IgM.","Nasal_7.1.IgM.","Nasal_8.1.IgM.","Nasal_8.1.IgM.","Nasal_9.1.IgM.","Nasal_9.1.IgM.","Nasal_10.1.IgM.","Nasal_10.1.IgM.","Nasal_11.1.IgM.","Nasal_11.1.IgM.","Nasal_12.1.IgM.","Nasal_12.1.IgM."
"B","Nasal_13.1.IgM.","Nasal_13.1.IgM.","Nasal_14.1.IgM.","Nasal_14.1.IgM.","Nasal_15.1.IgM.","Nasal_15.1.IgM.","Nasal_16.1.IgM.","Nasal_16.1.IgM.","Nasal_17.1.IgM.","Nasal_17.1.IgM.","Nasal_18.1.IgM.","Nasal_18.1.IgM.","Nasal_19.1.IgM.","Nasal_19.1.IgM.","Nasal_20.1.IgM.","Nasal_20.1.IgM.","Nasal_21.1.IgM.","Nasal_21.1.IgM.","Nasal_22.1.IgM.","Nasal_22.1.IgM.","Nasal_23.1.IgM.","Nasal_23.1.IgM.","Nasal_24.1.IgM.","Nasal_24.1.IgM."
"C","Nasal_25.1.IgM.","Nasal_25.1.IgM.","Nasal_26.1.IgM.","Nasal_26.1.IgM.","Nasal_27.1.IgM.","Nasal_27.1.IgM.","Nasal_28.1.IgM.","Nasal_28.1.IgM.","Nasal_29.1.IgM.","Nasal_29.1.IgM.","Nasal_30.1.IgM.","Nasal_30.1.IgM.","Nasal_31.1.IgM.","Nasal_31.1.IgM.","Nasal_32.1.IgM.","Nasal_32.1.IgM.","Nasal_33.1.IgM.","Nasal_33.1.IgM.","Nasal_34.1.IgM.","Nasal_34.1.IgM.","Nasal_35.1.IgM.","Nasal_35.1.IgM.","Nasal_36.1.IgM.","Nasal_36.1.IgM."
"D","Nasal_37.1.IgM.","Nasal_37.1.IgM.","Nasal_38.1.IgM.","Nasal_38.1.IgM.","Nasal_39.1.IgM.","Nasal_39.1.IgM.","Nasal_40.1.IgM.","Nasal_40.1.IgM.","Nasal_41.1.IgM.","Nasal_41.1.IgM.","Nasal_42.1.IgM.","Nasal_42.1.IgM.","Nasal_43.1.IgM.","Nasal_43.1.IgM.","Nasal_44.1.IgM.","Nasal_44.1.IgM.","Nasal_45.1.IgM.","Nasal_45.1.IgM.","Nasal_46.1.IgM.","Nasal_46.1.IgM.","Nasal_47.1.IgM.","Nasal_47.1.IgM.","Nasal_48.1.IgM.","Nasal_48.1.IgM."
"E","Nasal_49.1.IgM.","Nasal_49.1.IgM.","Nasal_50.1.IgM.","Nasal_50.1.IgM.","Nasal_51.1.IgM.","Nasal_51.1.IgM.","Nasal_52.1.IgM.","Nasal_52.1.IgM.","Nasal_53.1.IgM.","Nasal_53.1.IgM.","Nasal_54.1.IgM.","Nasal_54.1.IgM.","Nasal_55.1.IgM.","Nasal_55.1.IgM.","Nasal_56.1.IgM.","Nasal_56.1.IgM.","Nasal_57.1.IgM.","Nasal_57.1.IgM.","Nasal_58.1.IgM.","Nasal_58.1.IgM.","Nasal_59.1.IgM.","Nasal_59.1.IgM.","Nasal_60.1.IgM.","Nasal_60.1.IgM."
"F","Nasal_61.1.IgM.","Nasal_61.1.IgM.","Nasal_62.1.IgM.","Nasal_62.1.IgM.","Nasal_63.1.IgM.","Nasal_63.1.IgM.","Nasal_64.1.IgM.","Nasal_64.1.IgM.","Nasal_65.1.IgM.","Nasal_65.1.IgM.","Nasal_66.1.IgM.","Nasal_66.1.IgM.","Nasal_67.1.IgM.","Nasal_67.1.IgM.","Nasal_68.1.IgM.","Nasal_68.1.IgM.","Nasal_69.1.IgM.","Nasal_69.1.IgM.","Nasal_70.1.IgM.","Nasal_70.1.IgM.","Nasal_71.1.IgM.","Nasal_71.1.IgM.","Nasal_72.1.IgM.","Nasal_72.1.IgM."
"G","Nasal_73.1.IgM.","Nasal_73.1.IgM.","Nasal_74.1.IgM.","Nasal_74.1.IgM.","Nasal_75.1.IgM.","Nasal_75.1.IgM.","Nasal_76.1.IgM.","Nasal_76.1.IgM.","Nasal_77.1.IgM.","Nasal_77.1.IgM.","Nasal_78.1.IgM.","Nasal_78.1.IgM.","Nasal_79.1.IgM.","Nasal_79.1.IgM.","Nasal_80.1.IgM.","Nasal_80.1.IgM.","Nasal_81.1.IgM.","Nasal_81.1.IgM.","Nasal_82.1.IgM.","Nasal_82.1.IgM.","Nasal_83.1.IgM.","Nasal_83.1.IgM.","Nasal_84.1.IgM.","Nasal_84.1.IgM."
"H","Nasal_85.1.IgM.","Nasal_85.1.IgM.","Nasal_86.1.IgM.","Nasal_86.1.IgM.","Nasal_87.1.IgM.","Nasal_87.1.IgM.","Nasal_88.1.IgM.","Nasal_88.1.IgM.","Nasal_89.1.IgM.","Nasal_89.1.IgM.","Nasal_90.1.IgM.","Nasal_90.1.IgM.","Nasal_91.1.IgM.","Nasal_91.1.IgM.","Nasal_92.1.IgM.","Nasal_92.1.IgM.","Nasal_93.1.IgM.","Nasal_93.1.IgM.","Nasal_94.1.IgM.","Nasal_94.1.IgM.","Nasal_95.1.IgM.","Nasal_95.1.IgM.","Nasal_96.1.IgM.","Nasal_96.1.IgM."
"I","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM."
"J","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM.","NA.1.IgM."
