"","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A","Nasal_1.2.IgM.","Nasal_1.2.IgM.","Nasal_2.2.IgM.","Nasal_2.2.IgM.","Nasal_3.2.IgM.","Nasal_3.2.IgM.","Nasal_4.2.IgM.","Nasal_4.2.IgM.","Nasal_5.2.IgM.","Nasal_5.2.IgM.","Nasal_6.2.IgM.","Nasal_6.2.IgM.","Nasal_7.2.IgM.","Nasal_7.2.IgM.","Nasal_8.2.IgM.","Nasal_8.2.IgM.","Nasal_9.2.IgM.","Nasal_9.2.IgM.","Nasal_10.2.IgM.","Nasal_10.2.IgM.","Nasal_11.2.IgM.","Nasal_11.2.IgM.","Nasal_12.2.IgM.","Nasal_12.2.IgM."
"B","Nasal_13.2.IgM.","Nasal_13.2.IgM.","Nasal_14.2.IgM.","Nasal_14.2.IgM.","Nasal_15.2.IgM.","Nasal_15.2.IgM.","Nasal_16.2.IgM.","Nasal_16.2.IgM.","Nasal_17.2.IgM.","Nasal_17.2.IgM.","Nasal_18.2.IgM.","Nasal_18.2.IgM.","Nasal_19.2.IgM.","Nasal_19.2.IgM.","Nasal_20.2.IgM.","Nasal_20.2.IgM.","Nasal_21.2.IgM.","Nasal_21.2.IgM.","Nasal_22.2.IgM.","Nasal_22.2.IgM.","Nasal_23.2.IgM.","Nasal_23.2.IgM.","Nasal_24.2.IgM.","Nasal_24.2.IgM."
"C","Nasal_25.2.IgM.","Nasal_25.2.IgM.","Nasal_26.2.IgM.","Nasal_26.2.IgM.","Nasal_27.2.IgM.","Nasal_27.2.IgM.","Nasal_28.2.IgM.","Nasal_28.2.IgM.","Nasal_29.2.IgM.","Nasal_29.2.IgM.","Nasal_30.2.IgM.","Nasal_30.2.IgM.","Nasal_31.2.IgM.","Nasal_31.2.IgM.","Nasal_32.2.IgM.","Nasal_32.2.IgM.","Nasal_33.2.IgM.","Nasal_33.2.IgM.","Nasal_34.2.IgM.","Nasal_34.2.IgM.","Nasal_35.2.IgM.","Nasal_35.2.IgM.","Nasal_36.2.IgM.","Nasal_36.2.IgM."
"D","Nasal_37.2.IgM.","Nasal_37.2.IgM.","Nasal_38.2.IgM.","Nasal_38.2.IgM.","Nasal_39.2.IgM.","Nasal_39.2.IgM.","Nasal_40.2.IgM.","Nasal_40.2.IgM.","Nasal_41.2.IgM.","Nasal_41.2.IgM.","Nasal_42.2.IgM.","Nasal_42.2.IgM.","Nasal_43.2.IgM.","Nasal_43.2.IgM.","Nasal_44.2.IgM.","Nasal_44.2.IgM.","Nasal_45.2.IgM.","Nasal_45.2.IgM.","Nasal_46.2.IgM.","Nasal_46.2.IgM.","Nasal_47.2.IgM.","Nasal_47.2.IgM.","Nasal_48.2.IgM.","Nasal_48.2.IgM."
"E","Nasal_49.2.IgM.","Nasal_49.2.IgM.","Nasal_50.2.IgM.","Nasal_50.2.IgM.","Nasal_51.2.IgM.","Nasal_51.2.IgM.","Nasal_52.2.IgM.","Nasal_52.2.IgM.","Nasal_53.2.IgM.","Nasal_53.2.IgM.","Nasal_54.2.IgM.","Nasal_54.2.IgM.","Nasal_55.2.IgM.","Nasal_55.2.IgM.","Nasal_56.2.IgM.","Nasal_56.2.IgM.","Nasal_57.2.IgM.","Nasal_57.2.IgM.","Nasal_58.2.IgM.","Nasal_58.2.IgM.","Nasal_59.2.IgM.","Nasal_59.2.IgM.","Nasal_60.2.IgM.","Nasal_60.2.IgM."
"F","Nasal_61.2.IgM.","Nasal_61.2.IgM.","Nasal_62.2.IgM.","Nasal_62.2.IgM.","Nasal_63.2.IgM.","Nasal_63.2.IgM.","Nasal_64.2.IgM.","Nasal_64.2.IgM.","Nasal_65.2.IgM.","Nasal_65.2.IgM.","Nasal_66.2.IgM.","Nasal_66.2.IgM.","Nasal_67.2.IgM.","Nasal_67.2.IgM.","Nasal_68.2.IgM.","Nasal_68.2.IgM.","Nasal_69.2.IgM.","Nasal_69.2.IgM.","Nasal_70.2.IgM.","Nasal_70.2.IgM.","Nasal_71.2.IgM.","Nasal_71.2.IgM.","Nasal_72.2.IgM.","Nasal_72.2.IgM."
"G","Nasal_73.2.IgM.","Nasal_73.2.IgM.","Nasal_74.2.IgM.","Nasal_74.2.IgM.","Nasal_75.2.IgM.","Nasal_75.2.IgM.","Nasal_76.2.IgM.","Nasal_76.2.IgM.","Nasal_77.2.IgM.","Nasal_77.2.IgM.","Nasal_78.2.IgM.","Nasal_78.2.IgM.","Nasal_79.2.IgM.","Nasal_79.2.IgM.","Nasal_80.2.IgM.","Nasal_80.2.IgM.","Nasal_81.2.IgM.","Nasal_81.2.IgM.","Nasal_82.2.IgM.","Nasal_82.2.IgM.","Nasal_83.2.IgM.","Nasal_83.2.IgM.","Nasal_84.2.IgM.","Nasal_84.2.IgM."
"H","Nasal_85.2.IgM.","Nasal_85.2.IgM.","Nasal_86.2.IgM.","Nasal_86.2.IgM.","Nasal_87.2.IgM.","Nasal_87.2.IgM.","Nasal_88.2.IgM.","Nasal_88.2.IgM.","Nasal_89.2.IgM.","Nasal_89.2.IgM.","Nasal_90.2.IgM.","Nasal_90.2.IgM.","Nasal_91.2.IgM.","Nasal_91.2.IgM.","Nasal_92.2.IgM.","Nasal_92.2.IgM.","Nasal_93.2.IgM.","Nasal_93.2.IgM.","Nasal_94.2.IgM.","Nasal_94.2.IgM.","Nasal_95.2.IgM.","Nasal_95.2.IgM.","Nasal_96.2.IgM.","Nasal_96.2.IgM."
"I","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM."
"J","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM.","NA.2.IgM."
