"","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A","Nasal_1.2.IgA.","Nasal_1.2.IgA.","Nasal_2.2.IgA.","Nasal_2.2.IgA.","Nasal_3.2.IgA.","Nasal_3.2.IgA.","Nasal_4.2.IgA.","Nasal_4.2.IgA.","Nasal_5.2.IgA.","Nasal_5.2.IgA.","Nasal_6.2.IgA.","Nasal_6.2.IgA.","Nasal_7.2.IgA.","Nasal_7.2.IgA.","Nasal_8.2.IgA.","Nasal_8.2.IgA.","Nasal_9.2.IgA.","Nasal_9.2.IgA.","Nasal_10.2.IgA.","Nasal_10.2.IgA.","Nasal_11.2.IgA.","Nasal_11.2.IgA.","Nasal_12.2.IgA.","Nasal_12.2.IgA."
"B","Nasal_13.2.IgA.","Nasal_13.2.IgA.","Nasal_14.2.IgA.","Nasal_14.2.IgA.","Nasal_15.2.IgA.","Nasal_15.2.IgA.","Nasal_16.2.IgA.","Nasal_16.2.IgA.","Nasal_17.2.IgA.","Nasal_17.2.IgA.","Nasal_18.2.IgA.","Nasal_18.2.IgA.","Nasal_19.2.IgA.","Nasal_19.2.IgA.","Nasal_20.2.IgA.","Nasal_20.2.IgA.","Nasal_21.2.IgA.","Nasal_21.2.IgA.","Nasal_22.2.IgA.","Nasal_22.2.IgA.","Nasal_23.2.IgA.","Nasal_23.2.IgA.","Nasal_24.2.IgA.","Nasal_24.2.IgA."
"C","Nasal_25.2.IgA.","Nasal_25.2.IgA.","Nasal_26.2.IgA.","Nasal_26.2.IgA.","Nasal_27.2.IgA.","Nasal_27.2.IgA.","Nasal_28.2.IgA.","Nasal_28.2.IgA.","Nasal_29.2.IgA.","Nasal_29.2.IgA.","Nasal_30.2.IgA.","Nasal_30.2.IgA.","Nasal_31.2.IgA.","Nasal_31.2.IgA.","Nasal_32.2.IgA.","Nasal_32.2.IgA.","Nasal_33.2.IgA.","Nasal_33.2.IgA.","Nasal_34.2.IgA.","Nasal_34.2.IgA.","Nasal_35.2.IgA.","Nasal_35.2.IgA.","Nasal_36.2.IgA.","Nasal_36.2.IgA."
"D","Nasal_37.2.IgA.","Nasal_37.2.IgA.","Nasal_38.2.IgA.","Nasal_38.2.IgA.","Nasal_39.2.IgA.","Nasal_39.2.IgA.","Nasal_40.2.IgA.","Nasal_40.2.IgA.","Nasal_41.2.IgA.","Nasal_41.2.IgA.","Nasal_42.2.IgA.","Nasal_42.2.IgA.","Nasal_43.2.IgA.","Nasal_43.2.IgA.","Nasal_44.2.IgA.","Nasal_44.2.IgA.","Nasal_45.2.IgA.","Nasal_45.2.IgA.","Nasal_46.2.IgA.","Nasal_46.2.IgA.","Nasal_47.2.IgA.","Nasal_47.2.IgA.","Nasal_48.2.IgA.","Nasal_48.2.IgA."
"E","Nasal_49.2.IgA.","Nasal_49.2.IgA.","Nasal_50.2.IgA.","Nasal_50.2.IgA.","Nasal_51.2.IgA.","Nasal_51.2.IgA.","Nasal_52.2.IgA.","Nasal_52.2.IgA.","Nasal_53.2.IgA.","Nasal_53.2.IgA.","Nasal_54.2.IgA.","Nasal_54.2.IgA.","Nasal_55.2.IgA.","Nasal_55.2.IgA.","Nasal_56.2.IgA.","Nasal_56.2.IgA.","Nasal_57.2.IgA.","Nasal_57.2.IgA.","Nasal_58.2.IgA.","Nasal_58.2.IgA.","Nasal_59.2.IgA.","Nasal_59.2.IgA.","Nasal_60.2.IgA.","Nasal_60.2.IgA."
"F","Nasal_61.2.IgA.","Nasal_61.2.IgA.","Nasal_62.2.IgA.","Nasal_62.2.IgA.","Nasal_63.2.IgA.","Nasal_63.2.IgA.","Nasal_64.2.IgA.","Nasal_64.2.IgA.","Nasal_65.2.IgA.","Nasal_65.2.IgA.","Nasal_66.2.IgA.","Nasal_66.2.IgA.","Nasal_67.2.IgA.","Nasal_67.2.IgA.","Nasal_68.2.IgA.","Nasal_68.2.IgA.","Nasal_69.2.IgA.","Nasal_69.2.IgA.","Nasal_70.2.IgA.","Nasal_70.2.IgA.","Nasal_71.2.IgA.","Nasal_71.2.IgA.","Nasal_72.2.IgA.","Nasal_72.2.IgA."
"G","Nasal_73.2.IgA.","Nasal_73.2.IgA.","Nasal_74.2.IgA.","Nasal_74.2.IgA.","Nasal_75.2.IgA.","Nasal_75.2.IgA.","Nasal_76.2.IgA.","Nasal_76.2.IgA.","Nasal_77.2.IgA.","Nasal_77.2.IgA.","Nasal_78.2.IgA.","Nasal_78.2.IgA.","Nasal_79.2.IgA.","Nasal_79.2.IgA.","Nasal_80.2.IgA.","Nasal_80.2.IgA.","Nasal_81.2.IgA.","Nasal_81.2.IgA.","Nasal_82.2.IgA.","Nasal_82.2.IgA.","Nasal_83.2.IgA.","Nasal_83.2.IgA.","Nasal_84.2.IgA.","Nasal_84.2.IgA."
"H","Nasal_85.2.IgA.","Nasal_85.2.IgA.","Nasal_86.2.IgA.","Nasal_86.2.IgA.","Nasal_87.2.IgA.","Nasal_87.2.IgA.","Nasal_88.2.IgA.","Nasal_88.2.IgA.","Nasal_89.2.IgA.","Nasal_89.2.IgA.","Nasal_90.2.IgA.","Nasal_90.2.IgA.","Nasal_91.2.IgA.","Nasal_91.2.IgA.","Nasal_92.2.IgA.","Nasal_92.2.IgA.","Nasal_93.2.IgA.","Nasal_93.2.IgA.","Nasal_94.2.IgA.","Nasal_94.2.IgA.","Nasal_95.2.IgA.","Nasal_95.2.IgA.","Nasal_96.2.IgA.","Nasal_96.2.IgA."
"I","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA."
"J","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA.","NA.2.IgA."
