"","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A","Nasal_1.1.IgA.","Nasal_1.1.IgA.","Nasal_2.1.IgA.","Nasal_2.1.IgA.","Nasal_3.1.IgA.","Nasal_3.1.IgA.","Nasal_4.1.IgA.","Nasal_4.1.IgA.","Nasal_5.1.IgA.","Nasal_5.1.IgA.","Nasal_6.1.IgA.","Nasal_6.1.IgA.","Nasal_7.1.IgA.","Nasal_7.1.IgA.","Nasal_8.1.IgA.","Nasal_8.1.IgA.","Nasal_9.1.IgA.","Nasal_9.1.IgA.","Nasal_10.1.IgA.","Nasal_10.1.IgA.","Nasal_11.1.IgA.","Nasal_11.1.IgA.","Nasal_12.1.IgA.","Nasal_12.1.IgA."
"B","Nasal_13.1.IgA.","Nasal_13.1.IgA.","Nasal_14.1.IgA.","Nasal_14.1.IgA.","Nasal_15.1.IgA.","Nasal_15.1.IgA.","Nasal_16.1.IgA.","Nasal_16.1.IgA.","Nasal_17.1.IgA.","Nasal_17.1.IgA.","Nasal_18.1.IgA.","Nasal_18.1.IgA.","Nasal_19.1.IgA.","Nasal_19.1.IgA.","Nasal_20.1.IgA.","Nasal_20.1.IgA.","Nasal_21.1.IgA.","Nasal_21.1.IgA.","Nasal_22.1.IgA.","Nasal_22.1.IgA.","Nasal_23.1.IgA.","Nasal_23.1.IgA.","Nasal_24.1.IgA.","Nasal_24.1.IgA."
"C","Nasal_25.1.IgA.","Nasal_25.1.IgA.","Nasal_26.1.IgA.","Nasal_26.1.IgA.","Nasal_27.1.IgA.","Nasal_27.1.IgA.","Nasal_28.1.IgA.","Nasal_28.1.IgA.","Nasal_29.1.IgA.","Nasal_29.1.IgA.","Nasal_30.1.IgA.","Nasal_30.1.IgA.","Nasal_31.1.IgA.","Nasal_31.1.IgA.","Nasal_32.1.IgA.","Nasal_32.1.IgA.","Nasal_33.1.IgA.","Nasal_33.1.IgA.","Nasal_34.1.IgA.","Nasal_34.1.IgA.","Nasal_35.1.IgA.","Nasal_35.1.IgA.","Nasal_36.1.IgA.","Nasal_36.1.IgA."
"D","Nasal_37.1.IgA.","Nasal_37.1.IgA.","Nasal_38.1.IgA.","Nasal_38.1.IgA.","Nasal_39.1.IgA.","Nasal_39.1.IgA.","Nasal_40.1.IgA.","Nasal_40.1.IgA.","Nasal_41.1.IgA.","Nasal_41.1.IgA.","Nasal_42.1.IgA.","Nasal_42.1.IgA.","Nasal_43.1.IgA.","Nasal_43.1.IgA.","Nasal_44.1.IgA.","Nasal_44.1.IgA.","Nasal_45.1.IgA.","Nasal_45.1.IgA.","Nasal_46.1.IgA.","Nasal_46.1.IgA.","Nasal_47.1.IgA.","Nasal_47.1.IgA.","Nasal_48.1.IgA.","Nasal_48.1.IgA."
"E","Nasal_49.1.IgA.","Nasal_49.1.IgA.","Nasal_50.1.IgA.","Nasal_50.1.IgA.","Nasal_51.1.IgA.","Nasal_51.1.IgA.","Nasal_52.1.IgA.","Nasal_52.1.IgA.","Nasal_53.1.IgA.","Nasal_53.1.IgA.","Nasal_54.1.IgA.","Nasal_54.1.IgA.","Nasal_55.1.IgA.","Nasal_55.1.IgA.","Nasal_56.1.IgA.","Nasal_56.1.IgA.","Nasal_57.1.IgA.","Nasal_57.1.IgA.","Nasal_58.1.IgA.","Nasal_58.1.IgA.","Nasal_59.1.IgA.","Nasal_59.1.IgA.","Nasal_60.1.IgA.","Nasal_60.1.IgA."
"F","Nasal_61.1.IgA.","Nasal_61.1.IgA.","Nasal_62.1.IgA.","Nasal_62.1.IgA.","Nasal_63.1.IgA.","Nasal_63.1.IgA.","Nasal_64.1.IgA.","Nasal_64.1.IgA.","Nasal_65.1.IgA.","Nasal_65.1.IgA.","Nasal_66.1.IgA.","Nasal_66.1.IgA.","Nasal_67.1.IgA.","Nasal_67.1.IgA.","Nasal_68.1.IgA.","Nasal_68.1.IgA.","Nasal_69.1.IgA.","Nasal_69.1.IgA.","Nasal_70.1.IgA.","Nasal_70.1.IgA.","Nasal_71.1.IgA.","Nasal_71.1.IgA.","Nasal_72.1.IgA.","Nasal_72.1.IgA."
"G","Nasal_73.1.IgA.","Nasal_73.1.IgA.","Nasal_74.1.IgA.","Nasal_74.1.IgA.","Nasal_75.1.IgA.","Nasal_75.1.IgA.","Nasal_76.1.IgA.","Nasal_76.1.IgA.","Nasal_77.1.IgA.","Nasal_77.1.IgA.","Nasal_78.1.IgA.","Nasal_78.1.IgA.","Nasal_79.1.IgA.","Nasal_79.1.IgA.","Nasal_80.1.IgA.","Nasal_80.1.IgA.","Nasal_81.1.IgA.","Nasal_81.1.IgA.","Nasal_82.1.IgA.","Nasal_82.1.IgA.","Nasal_83.1.IgA.","Nasal_83.1.IgA.","Nasal_84.1.IgA.","Nasal_84.1.IgA."
"H","Nasal_85.1.IgA.","Nasal_85.1.IgA.","Nasal_86.1.IgA.","Nasal_86.1.IgA.","Nasal_87.1.IgA.","Nasal_87.1.IgA.","Nasal_88.1.IgA.","Nasal_88.1.IgA.","Nasal_89.1.IgA.","Nasal_89.1.IgA.","Nasal_90.1.IgA.","Nasal_90.1.IgA.","Nasal_91.1.IgA.","Nasal_91.1.IgA.","Nasal_92.1.IgA.","Nasal_92.1.IgA.","Nasal_93.1.IgA.","Nasal_93.1.IgA.","Nasal_94.1.IgA.","Nasal_94.1.IgA.","Nasal_95.1.IgA.","Nasal_95.1.IgA.","Nasal_96.1.IgA.","Nasal_96.1.IgA."
"I","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA."
"J","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA.","NA.1.IgA."
