"","unique_id","Plate","Well.ID","beadset","secondary","Median.BL2.H.of.1_mean","Median.BL2.H.of.1_median","Median.BL2.H.of.1_sd","Median.BL2.H.of.2_mean","Median.BL2.H.of.2_median","Median.BL2.H.of.2_sd","Median.BL2.H.of.3_mean","Median.BL2.H.of.3_median","Median.BL2.H.of.3_sd","Median.BL2.H.of.4_mean","Median.BL2.H.of.4_median","Median.BL2.H.of.4_sd","Median.BL2.H.of.5_mean","Median.BL2.H.of.5_median","Median.BL2.H.of.5_sd","Median.BL2.H.of.6_mean","Median.BL2.H.of.6_median","Median.BL2.H.of.6_sd","Median.BL2.H.of.7_mean","Median.BL2.H.of.7_median","Median.BL2.H.of.7_sd","Median.BL2.H.of.8_mean","Median.BL2.H.of.8_median","Median.BL2.H.of.8_sd","Median.BL2.H.of.9_mean","Median.BL2.H.of.9_median","Median.BL2.H.of.9_sd","Median.BL2.H.of.10_mean","Median.BL2.H.of.10_median","Median.BL2.H.of.10_sd","Median.BL2.H.of.11_mean","Median.BL2.H.of.11_median","Median.BL2.H.of.11_sd","Median.BL2.H.of.12_mean","Median.BL2.H.of.12_median","Median.BL2.H.of.12_sd","Median.BL2.H.of.13_mean","Median.BL2.H.of.13_median","Median.BL2.H.of.13_sd","Median.BL2.H.of.14_mean","Median.BL2.H.of.14_median","Median.BL2.H.of.14_sd","Median.BL2.H.of.15_mean","Median.BL2.H.of.15_median","Median.BL2.H.of.15_sd","Median.BL2.H.of.16_mean","Median.BL2.H.of.16_median","Median.BL2.H.of.16_sd","Median.BL2.H.of.17_mean","Median.BL2.H.of.17_median","Median.BL2.H.of.17_sd","Median.BL2.H.of.18_mean","Median.BL2.H.of.18_median","Median.BL2.H.of.18_sd","Median.BL2.H.of.19_mean","Median.BL2.H.of.19_median","Median.BL2.H.of.19_sd","Median.BL2.H.of.20_mean","Median.BL2.H.of.20_median","Median.BL2.H.of.20_sd","Median.BL2.H.of.21_mean","Median.BL2.H.of.21_median","Median.BL2.H.of.21_sd","Median.BL2.H.of.22_mean","Median.BL2.H.of.22_median","Median.BL2.H.of.22_sd","Median.BL2.H.of.23_mean","Median.BL2.H.of.23_median","Median.BL2.H.of.23_sd","Median.BL2.H.of.24_mean","Median.BL2.H.of.24_median","Median.BL2.H.of.24_sd","Median.BL2.H.of.33_mean","Median.BL2.H.of.33_median","Median.BL2.H.of.33_sd","Median.BL2.H.of.54_mean","Median.BL2.H.of.54_median","Median.BL2.H.of.54_sd","Median.BL2.H.of.60_mean","Median.BL2.H.of.60_median","Median.BL2.H.of.60_sd"
"1","HIVIG",1,"P17","1","IgM",2363.75,2363.75,13.7885822331377,2034.25,2034.25,49.1439212924651,2277,2277,304.055915910215,2152,2152,103.237590053236,2901.25,2901.25,84.4992603517924,1922.25,1922.25,179.958675811976,2094,2094,18.3847763108502,2260.75,2260.75,84.4992603517924,2156.25,2156.25,119.85459941112,2058.5,2058.5,77.0746391493337,3534.25,3534.25,68.9429111656884,2141.75,2141.75,83.7921535706059,2011,2011,55.1543289325507,2049.25,2049.25,45.6083873865323,1975.5,1975.5,243.951839509359,2873.75,2873.75,206.828733497065,2725,2725,219.20310216783,1900.75,1900.75,3.18198051533946,2265.75,2265.75,97.9342891943368,2294.75,2294.75,162.281006282313,2601.5,2601.5,84.1457069611992,1884.5,1884.5,61.5182899632296,3394.5,3394.5,713.470742217226,2487,2487,20.5060966544099,NA,NA,NA,2823.25,2823.25,91.5703281636579,NA,NA,NA
"2","HIVIG",1,"P18","1","IgM",2363.75,2363.75,13.7885822331377,2034.25,2034.25,49.1439212924651,2277,2277,304.055915910215,2152,2152,103.237590053236,2901.25,2901.25,84.4992603517924,1922.25,1922.25,179.958675811976,2094,2094,18.3847763108502,2260.75,2260.75,84.4992603517924,2156.25,2156.25,119.85459941112,2058.5,2058.5,77.0746391493337,3534.25,3534.25,68.9429111656884,2141.75,2141.75,83.7921535706059,2011,2011,55.1543289325507,2049.25,2049.25,45.6083873865323,1975.5,1975.5,243.951839509359,2873.75,2873.75,206.828733497065,2725,2725,219.20310216783,1900.75,1900.75,3.18198051533946,2265.75,2265.75,97.9342891943368,2294.75,2294.75,162.281006282313,2601.5,2601.5,84.1457069611992,1884.5,1884.5,61.5182899632296,3394.5,3394.5,713.470742217226,2487,2487,20.5060966544099,NA,NA,NA,2823.25,2823.25,91.5703281636579,NA,NA,NA
"3","HIVIG",2,"P17","1","IgA",4784.5,4784.5,648.416918348064,2770.5,2770.5,71.4177848998413,6639,6639,8.48528137423857,3684.75,3684.75,196.929238560453,4681.75,4681.75,16.6170093578839,3730,3730,277.185858225127,3825.5,3825.5,81.317279836453,4413,4413,124.450793488832,4426,4426,48.0832611206852,4467.75,4467.75,221.677975901983,7899.25,7899.25,467.044028973715,3641.5,3641.5,219.910208949016,2733,2733,59.39696961967,5527,5527,111.722871427475,4506.5,4506.5,7.77817459305202,4499.5,4499.5,44.5477272147525,5057.25,5057.25,288.853120114705,4017.25,4017.25,191.979491092148,7269.75,7269.75,8.83883476483184,5697.75,5697.75,132.582521472478,6527.75,6527.75,327.743993079965,4856.5,4856.5,178.898015640197,319576.5,319576.5,3295.8247071105,256665,256665,10511.8494091192,NA,NA,NA,19084.75,19084.75,107.126677349762,NA,NA,NA
"4","HIVIG",2,"P18","1","IgA",4784.5,4784.5,648.416918348064,2770.5,2770.5,71.4177848998413,6639,6639,8.48528137423857,3684.75,3684.75,196.929238560453,4681.75,4681.75,16.6170093578839,3730,3730,277.185858225127,3825.5,3825.5,81.317279836453,4413,4413,124.450793488832,4426,4426,48.0832611206852,4467.75,4467.75,221.677975901983,7899.25,7899.25,467.044028973715,3641.5,3641.5,219.910208949016,2733,2733,59.39696961967,5527,5527,111.722871427475,4506.5,4506.5,7.77817459305202,4499.5,4499.5,44.5477272147525,5057.25,5057.25,288.853120114705,4017.25,4017.25,191.979491092148,7269.75,7269.75,8.83883476483184,5697.75,5697.75,132.582521472478,6527.75,6527.75,327.743993079965,4856.5,4856.5,178.898015640197,319576.5,319576.5,3295.8247071105,256665,256665,10511.8494091192,NA,NA,NA,19084.75,19084.75,107.126677349762,NA,NA,NA
"5","HIVIG",3,"P17","2","IgM",2304.5,2304.5,37.476659402887,2382,2382,209.303607231218,2144,2144,132.936074863071,2325.25,2325.25,167.230753750618,3363.75,3363.75,326.329779517592,2275.5,2275.5,21.920310216783,2458.25,2458.25,158.74547237638,2596.75,2596.75,220.26376233961,2528.75,2528.75,10.9601551083915,2281.5,2281.5,113.844191771034,3228.5,3228.5,17.6776695296637,2722.25,2722.25,69.6500179468749,2144,2144,38.1837661840736,2257.75,2257.75,120.561706192306,1939.25,1939.25,134.703841816037,3313.5,3313.5,231.223917448001,2971.75,2971.75,35.0017856687341,2134.75,2134.75,141.774909627903,2272.75,2272.75,31.4662517628014,2869,2869,304.055915910215,2747,2747,172.534054609518,2203.5,2203.5,58.6898628384834,8080.75,8080.75,1290.11632227486,23941.25,23941.25,3882.36978210474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","HIVIG",3,"P18","2","IgM",2304.5,2304.5,37.476659402887,2382,2382,209.303607231218,2144,2144,132.936074863071,2325.25,2325.25,167.230753750618,3363.75,3363.75,326.329779517592,2275.5,2275.5,21.920310216783,2458.25,2458.25,158.74547237638,2596.75,2596.75,220.26376233961,2528.75,2528.75,10.9601551083915,2281.5,2281.5,113.844191771034,3228.5,3228.5,17.6776695296637,2722.25,2722.25,69.6500179468749,2144,2144,38.1837661840736,2257.75,2257.75,120.561706192306,1939.25,1939.25,134.703841816037,3313.5,3313.5,231.223917448001,2971.75,2971.75,35.0017856687341,2134.75,2134.75,141.774909627903,2272.75,2272.75,31.4662517628014,2869,2869,304.055915910215,2747,2747,172.534054609518,2203.5,2203.5,58.6898628384834,8080.75,8080.75,1290.11632227486,23941.25,23941.25,3882.36978210474,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HIVIG",4,"P17","2","IgA",2155,2155,86.2670273047588,2194,2194,93.3380951166243,2081.5,2081.5,50.2045814642449,2108.25,2108.25,32.8804653251745,3156.5,3156.5,60.1040764008565,2092.5,2092.5,4.94974746830583,2260,2260,26.8700576850888,2494.25,2494.25,37.8302127934803,2228.75,2228.75,25.809397513309,2084,2084,144.956890143242,3320.75,3320.75,40.6586399182265,2394.5,2394.5,70.0035713374682,1922.25,1922.25,100.762716319083,2110.25,2110.25,28.6378246380552,2028,2028,100.40916292849,3255.25,3255.25,25.1022907321224,2837,2837,32.5269119345812,2075,2075,8.48528137423857,2255.5,2255.5,125.157900270019,2254.25,2254.25,80.2566196646731,2537.75,2537.75,63.286056916196,2031.5,2031.5,60.1040764008565,3872.5,3872.5,618.718433538229,3317.75,3317.75,594.323249587293,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","HIVIG",4,"P18","2","IgA",2155,2155,86.2670273047588,2194,2194,93.3380951166243,2081.5,2081.5,50.2045814642449,2108.25,2108.25,32.8804653251745,3156.5,3156.5,60.1040764008565,2092.5,2092.5,4.94974746830583,2260,2260,26.8700576850888,2494.25,2494.25,37.8302127934803,2228.75,2228.75,25.809397513309,2084,2084,144.956890143242,3320.75,3320.75,40.6586399182265,2394.5,2394.5,70.0035713374682,1922.25,1922.25,100.762716319083,2110.25,2110.25,28.6378246380552,2028,2028,100.40916292849,3255.25,3255.25,25.1022907321224,2837,2837,32.5269119345812,2075,2075,8.48528137423857,2255.5,2255.5,125.157900270019,2254.25,2254.25,80.2566196646731,2537.75,2537.75,63.286056916196,2031.5,2031.5,60.1040764008565,3872.5,3872.5,618.718433538229,3317.75,3317.75,594.323249587293,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","IVIG",1,"P13","1","IgM",2238.375,2236.75,102.587665762833,2036.75,2032,78.3171969195357,2132.75,2134,128.393600567422,2145.875,2189,118.698058815916,2935.625,2967.5,126.061740825676,1857.125,1838.5,55.9022584516941,1930.875,1936,34.5359112615646,2275.5,2271.75,67.0211409432377,2169.875,2173.25,68.2744156572089,1933.75,1927.5,34.2478709800575,3258,3247,83.2956581501501,2133,2105,92.9489106982971,1924.75,1952,74.7456799197563,1938.375,1959,135.561409823494,1901.5,1903.75,159.787880224586,2854.75,2872.5,84.9995098025081,2666.75,2689,79.5293446890308,1835.875,1855.5,46.9154825191002,2377.25,2379.25,88.9742472104522,2216,2210.25,100.526116009722,2545.75,2522.5,90.8932524081592,1803.5,1836.5,83.1644956296455,2864.5,2875,76.9491173871843,2630.75,2629,83.5638478450261,NA,NA,NA,2929.75,2922.5,105.601846574764,NA,NA,NA
"10","IVIG",1,"P14","1","IgM",2238.375,2236.75,102.587665762833,2036.75,2032,78.3171969195357,2132.75,2134,128.393600567422,2145.875,2189,118.698058815916,2935.625,2967.5,126.061740825676,1857.125,1838.5,55.9022584516941,1930.875,1936,34.5359112615646,2275.5,2271.75,67.0211409432377,2169.875,2173.25,68.2744156572089,1933.75,1927.5,34.2478709800575,3258,3247,83.2956581501501,2133,2105,92.9489106982971,1924.75,1952,74.7456799197563,1938.375,1959,135.561409823494,1901.5,1903.75,159.787880224586,2854.75,2872.5,84.9995098025081,2666.75,2689,79.5293446890308,1835.875,1855.5,46.9154825191002,2377.25,2379.25,88.9742472104522,2216,2210.25,100.526116009722,2545.75,2522.5,90.8932524081592,1803.5,1836.5,83.1644956296455,2864.5,2875,76.9491173871843,2630.75,2629,83.5638478450261,NA,NA,NA,2929.75,2922.5,105.601846574764,NA,NA,NA
