"","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A","4_screen","4_screen","5_screen","5_screen","10_screen","10_screen","11_screen","11_screen","22_screen","22_screen","30_screen","30_screen","31_screen","31_screen","32_screen","32_screen","35_screen","35_screen","38_screen","38_screen","43_screen","43_screen","47_screen","47_screen"
"B","4_Day7","4_Day7","5_Day7","5_Day7","10_Day7","10_Day7","11_Day7","11_Day7","22_Day7","22_Day7","30_Day7","30_Day7","31_Day7","31_Day7","32_Day7","32_Day7","35_Day7","35_Day7","38_Day7","38_Day7","43_Day7","43_Day7","47_Day7","47_Day7"
"C","1_screen","1_screen","2_screen","2_screen","9_screen","9_screen","18_screen","18_screen","19_screen","19_screen","23_screen","23_screen","33_screen","33_screen","34_screen","34_screen","36_screen","36_screen","39_screen","39_screen","42_screen","42_screen","45_screen","45_screen"
"D","1_Day7","1_Day7","2_Day7","2_Day7","9_Day7","9_Day7","18_Day7","18_Day7","19_Day7","19_Day7","23_Day7","23_Day7","33_Day7","33_Day7","34_Day7","34_Day7","36_Day7","36_Day7","39_Day7","39_Day7","42_Day7","42_Day7","45_Day7","45_Day7"
"E","7_screen","7_screen","8_screen","8_screen","15_screen","15_screen","16_screen","16_screen","17_screen","17_screen","20_screen","20_screen","25_screen","25_screen","37_screen","37_screen","40_screen","40_screen","41_screen","41_screen","44_screen","44_screen","50_screen","50_screen"
"F","7_Day7","7_Day7","8_Day7","8_Day7","15_Day7","15_Day7","16_Day7","16_Day7","17_Day7","17_Day7","20_Day7","20_Day7","25_Day7","25_Day7","37_Day7","37_Day7","40_Day7","40_Day7","41_Day7","41_Day7","44_Day7","44_Day7","50_Day7","50_Day7"
"G","59_screen","59_screen","62_screen","62_screen","63_screen","63_screen","65_screen","65_screen","70_screen","70_screen","71_screen","71_screen","78_screen","78_screen","81_screen","81_screen","82_screen","82_screen","59_Day7","59_Day7","62_Day7","62_Day7","63_Day7","63_Day7"
"H","65_Day7","65_Day7","70_Day7","70_Day7","71_Day7","71_Day7","78_Day7","78_Day7","81_Day7","81_Day7","82_Day7","82_Day7","PBS","PBS","PBS","PBS","PBS","PBS","PBS","PBS","PBS","PBS","PBS","PBS"
"I","51_screen","51_screen","52_screen","52_screen","54_screen","54_screen","60_screen","60_screen","64_screen","64_screen","67_screen","67_screen","69_screen","69_screen","72_screen","72_screen","74_screen","74_screen","51_Day7","51_Day7","52_Day7","52_Day7","54_Day7","54_Day7"
"J","60_Day7","60_Day7","64_Day7","64_Day7","67_Day7","67_Day7","69_Day7","69_Day7","72_Day7","72_Day7","74_Day7","74_Day7","53_screen","53_screen","56_screen","56_screen","58_screen","58_screen","61_screen","61_screen","66_screen","66_screen","68_screen","68_screen"
"K","73_screen","73_screen","79_screen","79_screen","80_screen","80_screen","53_Day7","53_Day7","56_Day7","56_Day7","58_Day7","58_Day7","61_Day7","61_Day7","66_Day7","66_Day7","68_Day7","68_Day7","73_Day7","73_Day7","79_Day7","79_Day7","80_Day7","80_Day7"
"L","53G_002_pre","53G_002_pre","53G_005_pre","53G_005_pre","53G_012_pre","53G_012_pre","53G_033_pre","53G_033_pre","53G_041_pre","53G_041_pre","53G_045_pre","53G_045_pre","53G_060_pre","53G_060_pre","53G_003_pre","53G_003_pre","53G_006_pre","53G_006_pre","53G_020_pre","53G_020_pre","53G_037_pre","53G_037_pre","53G_042_pre","53G_042_pre"
"M","53G_046_pre","53G_046_pre","53G_061_pre","53G_061_pre","53G_004_pre","53G_004_pre","53G_011_pre","53G_011_pre","53G_029_pre","53G_029_pre","53G_039_pre","53G_039_pre","53G_044_pre","53G_044_pre","53G_051_pre","53G_051_pre","53G_075_pre","53G_075_pre","53G_076_pre","53G_076_pre","53G_077_pre","53G_077_pre","53G_078_pre","53G_078_pre"
"N","53G_087_pre","53G_087_pre","53G_099_pre","53G_099_pre","53G_114_pre","53G_114_pre","53G_134_pre","53G_134_pre","53G_138_pre","53G_138_pre","53G_149_pre","53G_149_pre","53G_165_pre","53G_165_pre","53G_171_pre","53G_171_pre","53G_101_pre","53G_101_pre","53G_120_pre","53G_120_pre","53G_135_pre","53G_135_pre","53G_142_pre","53G_142_pre"
"O","53G_151_pre","53G_151_pre","53G_167_pre","53G_167_pre","53G_107_pre","53G_107_pre","53G_127_pre","53G_127_pre","53G_137_pre","53G_137_pre","53G_147_pre","53G_147_pre","53G_164_pre","53G_164_pre","53G_169_pre","53G_169_pre","PBS","PBS","PBS","PBS","PBS","PBS","PBS","PBS"
"P","Harris samples pool1","Harris samples pool1","Harris samples pool2","Harris samples pool2","Harris samples pool3","Harris samples pool3","Harris samples pool4","Harris samples pool4","Harris samples pool5","Harris samples pool5","Harris samples pool6","Harris samples pool6","53G pool","53G pool","53G pool","53G pool","53G pool","53G pool","53G pool","53G pool","53G pool","53G pool","53G pool","53G pool"
