"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"A",4_screen,35_screen,22_Day7,1_screen,36_screen,19_Day7,7_screen,40_screen,17_Day7,59_screen,82_screen,81_Day7,c("51_screen", "52_screen", "54_screen", "60_screen", "64_screen", "67_screen", "69_screen", "72_screen", "74_screen", "51_Day7", "52_Day7", "54_Day7", "60_Day7", "64_Day7", "67_Day7", "69_Day7", "72_Day7", "74_Day7", "53_screen", "56_screen", "58_screen", "61_screen", "66_screen", "68_screen", "73_screen", "79_screen", "80_screen", "53_Day7", "56_Day7", "58_Day7", "61_Day7", "66_Day7", "68_Day7", "73_Day7", "79_Day7", "80_Day7", "53G_002_pre", "53G_005_pre", "53G_012_pre", "53G_033_pre", "53G_041_pre", 
"53G_045_pre", "53G_060_pre", "53G_003_pre", "53G_006_pre", "53G_020_pre", "53G_037_pre", "53G_042_pre", "53G_046_pre", "53G_061_pre", "53G_004_pre", "53G_011_pre", "53G_029_pre", "53G_039_pre", "53G_044_pre", "53G_051_pre", "53G_075_pre", "53G_076_pre", "53G_077_pre", "53G_078_pre", "53G_087_pre", "53G_099_pre", "53G_114_pre", "53G_134_pre", "53G_138_pre", "53G_149_pre", "53G_165_pre", "53G_171_pre", "53G_101_pre", "53G_120_pre", "53G_135_pre", "53G_142_pre", "53G_151_pre", "53G_167_pre", "53G_107_pre", 
"53G_127_pre", "53G_137_pre", "53G_147_pre", "53G_164_pre", "53G_169_pre", "PBS", "PBS", "PBS", "PBS", "Harris samples pool1", "Harris samples pool2", "Harris samples pool3", "Harris samples pool4", "Harris samples pool5", "Harris samples pool6", "53G pool", "53G pool", "53G pool", "53G pool", "53G pool", "53G pool", "51_screen", "52_screen", "54_screen", "60_screen", "64_screen", "67_screen", "69_screen", "72_screen", "74_screen", "51_Day7", "52_Day7", "54_Day7", "60_Day7", "64_Day7", "67_Day7", 
"69_Day7", "72_Day7", "74_Day7", "53_screen", "56_screen", "58_screen", "61_screen", "66_screen", "68_screen", "73_screen", "79_screen", "80_screen", "53_Day7", "56_Day7", "58_Day7", "61_Day7", "66_Day7", "68_Day7", "73_Day7", "79_Day7", "80_Day7", "53G_002_pre", "53G_005_pre", "53G_012_pre", "53G_033_pre", "53G_041_pre", "53G_045_pre", "53G_060_pre", "53G_003_pre", "53G_006_pre", "53G_020_pre", "53G_037_pre", "53G_042_pre", "53G_046_pre", "53G_061_pre", "53G_004_pre", "53G_011_pre", "53G_029_pre", 
"53G_039_pre", "53G_044_pre", "53G_051_pre", "53G_075_pre", "53G_076_pre", "53G_077_pre", "53G_078_pre", "53G_087_pre", "53G_099_pre", "53G_114_pre", "53G_134_pre", "53G_138_pre", "53G_149_pre", "53G_165_pre", "53G_171_pre", "53G_101_pre", "53G_120_pre", "53G_135_pre", "53G_142_pre", "53G_151_pre", "53G_167_pre", "53G_107_pre", "53G_127_pre", "53G_137_pre", "53G_147_pre", "53G_164_pre", "53G_169_pre", "PBS", "PBS", "PBS", "PBS", "Harris samples pool1", "Harris samples pool2", "Harris samples pool3", 
"Harris samples pool4", "Harris samples pool5", "Harris samples pool6", "53G pool", "53G pool", "53G pool", "53G pool", "53G pool", "53G pool", "-d")
"B",4_screen,35_screen,22_Day7,1_screen,36_screen,19_Day7,7_screen,40_screen,17_Day7,59_screen,82_screen,81_Day7,4_screen
"C",5_screen,38_screen,30_Day7,2_screen,39_screen,23_Day7,8_screen,41_screen,20_Day7,62_screen,59_Day7,82_Day7,4_screen
"D",5_screen,38_screen,30_Day7,2_screen,39_screen,23_Day7,8_screen,41_screen,20_Day7,62_screen,59_Day7,82_Day7,5_screen
"E",10_screen,43_screen,31_Day7,9_screen,42_screen,33_Day7,15_screen,44_screen,25_Day7,63_screen,62_Day7,PBS,5_screen
"F",10_screen,43_screen,31_Day7,9_screen,42_screen,33_Day7,15_screen,44_screen,25_Day7,63_screen,62_Day7,PBS,10_screen
"G",11_screen,47_screen,32_Day7,18_screen,45_screen,34_Day7,16_screen,50_screen,37_Day7,65_screen,63_Day7,PBS,10_screen
"H",11_screen,47_screen,32_Day7,18_screen,45_screen,34_Day7,16_screen,50_screen,37_Day7,65_screen,63_Day7,PBS,11_screen
"I",22_screen,4_Day7,35_Day7,19_screen,1_Day7,36_Day7,17_screen,7_Day7,40_Day7,70_screen,65_Day7,PBS,11_screen
"J",22_screen,4_Day7,35_Day7,19_screen,1_Day7,36_Day7,17_screen,7_Day7,40_Day7,70_screen,65_Day7,PBS,22_screen
"K",30_screen,5_Day7,38_Day7,23_screen,2_Day7,39_Day7,20_screen,8_Day7,41_Day7,71_screen,70_Day7,PBS,22_screen
"L",30_screen,5_Day7,38_Day7,23_screen,2_Day7,39_Day7,20_screen,8_Day7,41_Day7,71_screen,70_Day7,PBS,30_screen
"M",31_screen,10_Day7,43_Day7,33_screen,9_Day7,42_Day7,25_screen,15_Day7,44_Day7,78_screen,71_Day7,PBS,30_screen
"N",31_screen,10_Day7,43_Day7,33_screen,9_Day7,42_Day7,25_screen,15_Day7,44_Day7,78_screen,71_Day7,PBS,31_screen
"O",32_screen,11_Day7,47_Day7,34_screen,18_Day7,45_Day7,37_screen,16_Day7,50_Day7,81_screen,78_Day7,PBS,31_screen
"P",32_screen,11_Day7,47_Day7,34_screen,18_Day7,45_Day7,37_screen,16_Day7,50_Day7,81_screen,78_Day7,PBS,32_screen
